#TABLE 5,,,,,,,,,
#,,,,,,,,,
#Summary of Observations of Leo I Targets,,,,,,,,,
#,R b,P.A.b,v h,vh,,,,,
#IDa,(arcsec),(deg),( km s1 ),( km s1),J2000.0,J2000.0,I,V  I,SRCc
#(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
297...................,423.1,99.4,22.4,2.0,10 08 55.48,12 17 21,18.96,1.26,1
298...................,423.9,123.4,276.1,2.1,10 08 51.15,12 14 36.8,19.10,1.30,5
299...................,424.9,103.5,283.4,2.1,10 08 55.19,12 16 50.6,19.16,1.24,1
300...................,425.7,77.6,280.4,2.1,10 08 55.37,12 20 1.4,18.57,1.37,1
301...................,425.9,287.2,284.0,2.0,10 07 59.24,12 20 36.1,18.54,1.39,2
302  .................,426.5,291.9,260.9,5.0,10 07 59.99,12 21 9,18.73,1.30,46
303y.................,427.0,155.8,11.8,2.0,10 08 38.96,12 12 0.6,18.79,1.32,1
304...................,432.9,44.0,275.0,2.1,10 08 47.52,12 23 41.4,19.04,1.26,5
305...................,434.7,112.7,288.9,1.9,10 08 54.36,12 15 42.2,19.22,1.24,7
306...................,435.1,269.4,295.0,1.9,10 07 57.31,12 18 25.2,18.44,1.39,5
307...................,442.8,105.4,290.9,1.9,10 08 56.12,12 16 32.1,19.51,1.23,7
308...................,445.1,42.7,286.9,2.0,10 08 47.59,12 23 57.2,19.03,1.25,23
309...................,449.9,54.5,279.7,2.0,10 08 51.99,12 22 51.4,19.02,1.30,6
310...................,451.0,98.9,298.3,1.9,10 08 57.40,12 17 19.9,19.27,1.24,7
311...................,458.7,55.9,97.0,2.1,10 08 52.93,12 22 47,18.77,1.18,15
312...................,463.2,276.1,284.1,3.7,10 07 55.57,12 19 19.3,19.06,1.27,23
313...................,464.4,306.5,273.1,3.1,10 08 01.53,12 23 6.4,19.09,1.31,23
314...................,465.0,89.2,276.9,2.0,10 08 58.73,12 18 36.1,18.48,1.40,1
315...................,466.8,31.5,276.3,1.7,10 08 43.63,12 25 8.2,18.66,1.33,7
316...................,469.1,282.4,296.8,2.1,10 07 55.74,12 20 10.9,19.15,1.27,4
317...................,470.5,49.4,292.9,1.8,10 08 51.40,12 23 35.9,19.21,1.24,7
318...................,470.5,202.0,29.9,1.9,10 08 14.97,12 11 13.8,18.50,1.30,6
319...................,471.2,302.1,273.2,2.0,10 07 59.76,12 22 40.4,18.69,1.35,467
320................,475.6,127.1,266.1,2.0,10 8 52.88,12 13 43.1,19.41,1.21,3
321................,476.4,77.4,274.0,2.0,10 8 58.73,12 20 13.7,19.04,1.20,6
322 ..............,481.9,313.6,295.2,7.6,10 8 3.19,12 24 2.4,18.88,1.33,56
323................,494.9,56.8,279.8,2.0,10 8 55.27,12 23 0.8,18.59,1.38,1
324................,496.7,122.7,281.7,2.6,10 8 55.51,12 14 1.5,17.93,1.42,1234
325................,499.3,242.9,265.7,2.0,10 7 56.68,12 14 42.3,19.16,1.22,7
326................,500.4,61.2,273.4,1.9,10 8 56.92,12 22 31.3,18.60,1.36,2
327y..............,501.5,318.1,16.4,2.0,10 8 4.13,12 24 43.1,19.44,1.07,1
328................,505.5,227.0,274.2,1.9,10 8 1.8,12 12 44.9,19.63,1.12,7
329................,511.4,282.5,295.1,2.1,10 7 52.93,12 20 20.6,19.08,1.29,5
330................,513.3,205.6,134.4,1.9,10 8 11.85,12 10 47.2,18.87,1.25,6
331y..............,515.3,64.9,19.3,2.0,10 8 58.86,12 22 8.1,19.50,1.20,1
332................,516.7,26.5,279.6,2.1,10 8 42.73,12 26 12.4,19.47,1.20,1
333................,520.2,108.1,266.2,2.5,10 9 0.74,12 15 48.6,18.58,1.35,24
334................,527.1,105.1,120.2,2.0,10 9 1.72,12 16 12.4,18.53,1.24,34
335 ..............,529.2,149.3,21.6,5.7,10 8 45.41,12 10 54.8,17.07,1.89,12
336................,540.9,69.4,272.1,2.5,10 9 1.55,12 21 40.4,18.26,1.39,12
337................,541.3,151.6,283.7,2.0,10 8 44.57,12 10 33.9,18.50,1.25,3
338................,544.9,58.7,297.1,1.8,10 8 58.78,12 23 13,18.71,1.30,7
339................,547.8,255.9,294.5,2.0,10 7 50.76,12 16 16.1,18.74,1.32,2
340................,553.9,80.7,286.6,1.8,10 9 4.3,12 19 59.3,18.90,1.26,7
341................,558.1,255.5,282.3,1.8,10 7 50.13,12 16 10.3,19.30,1.26,7
342................,561.2,76.0,284.8,2.7,10 9 4.16,12 20 45.8,18.55,1.35,23
343................,566.3,81.2,285.0,3.1,10 9 5.19,12 19 56.4,18.26,1.42,14
344 ..............,568.4,294.6,273.1,5.0,10 7 51.73,12 22 26.5,18.90,1.38,67
345................,568.8,79.4,283.1,2.0,10 9 5.16,12 20 14.1,18.43,1.38,3
346................,588.8,261.7,52.4,1.8,10 7 47.25,12 17 4.5,17.73,1.55,234
347................,593.6,89.2,286.4,2.0,10 9 7.5,12 18 38.2,18.29,1.43,234
348................,608.2,115.6,274.0,2.1,10 9 4.43,12 14 7.4,19.44,1.23,3
349................,610.0,283.8,294.7,1.7,10 7 46.58,12 20 55.8,18.26,1.49,3
350................,631.0,297.9,296.4,1.9,10 7 48.94,12 23 25.3,19.04,1.30,36
351................,632.9,343.4,91.7,2.0,10 8 14.67,12 28 36.6,17.35,1.74,12
352................,638.6,276.6,271.3,1.9,10 7 43.71,12 19 42.8,19.30,1.23,3
353................,648.9,11.8,96.1,2.2,10 8 36.07,12 29 5.2,17.91,1.61,24
354................,650.5,293.2,295.8,2.2,10 7 46.19,12 22 46,18.82,1.34,3567
355................,657.2,54.0,51.3,2.2,10 9 3.28,12 24 56.4,18.18,1.52,36
356................,688.6,95.6,294.8,2.8,10 9 13.76,12 17 22.6,18.58,1.37,237
357................,692.1,279.5,276.3,3.0,10 7 40.41,12 20 23.5,18.75,1.27,3467
358................,695.3,145.6,21.9,3.1,10 8 53.78,12 8 56.1,17.72,1.58,123
359................,700.6,211.3,21.9,2.3,10 8 2.15,12 8 31.6,17.31,1.84,124567
360................,702.5,262.2,294.8,2.8,10 7 39.51,12 16 54.6,18.92,1.22,346
361................,702.7,89.6,260.8,2.0,10 9 14.95,12 18 34.3,18.47,1.38,13
362................,704.2,60.0,268.0,2.0,10 9 8.65,12 24 21.4,18.53,1.40,3
363................,705.8,227.7,13.4,1.9,10 7 51.39,12 10 34.9,17.36,1.83,1234
364................,719.5,95.7,274.7,2.0,10 9 15.85,12 17 18.2,18.60,1.40,5
365................,720.0,266.4,284.0,1.8,10 7 37.97,12 17 44.4,18.72,1.32,3
366................,734.3,103.0,272.8,3.0,10 9 15.82,12 15 45.1,18.94,1.27,13
367................,735.6,55.2,53.8,2.8,10 9 8.23,12 25 29.7,17.87,1.50,45
368................,750.7,244.2,281.0,2.1,10 7 40.89,12 13 3.3,18.40,1.44,23456
369................,760.8,228.2,65.3,1.9,10 7 48.34,12 10 2.4,19.91,1.01,7
370y..............,770.8,141.9,12.3,2.0,10 8 59.47,12 8 23.7,19.12,1.22,1
371................,772.6,69.5,103.8,2.0,10 9 16.41,12 22 59.8,17.19,1.75,234
372................,789.2,77.4,274.8,2.0,10 9 19.56,12 21 21.9,18.99,1.20,3
373................,792.4,230.3,40.0,2.1,10 7 45.41,12 10 3.9,18.04,1.58,234
374................,795.4,74.8,290.2,3.2,10 9 19.4,12 21 57.7,18.30,1.43,34
375................,823.1,92.2,275.0,2.0,10 9 23.12,12 17 57.9,18.81,1.36,4
376................,825.5,239.3,268.2,3.4,10 7 38.58,12 11 28.5,19.25,1.24,347
377................,839.4,245.6,282.3,2.2,10 7 34.84,12 12 43.6,19.32,1.20,37
378................,848.5,282.4,298.0,2.0,10 7 30.45,12 21 32.4,19.42,1.21,357
379................,864.7,44.5,2.1,3.5,10 9 8.37,12 28 46.7,17.84,1.53,12345
380................,883.1,45.3,25.1,2.0,10 9 9.88,12 28 50.6,18.95,1.29,6
381................,940.9,136.3,4.5,2.0,10 9 11.35,12 7 9.9,19.42,1.14,2
382................,952.6,246.2,55.8,1.8,10 7 27.56,12 12 4.9,18.30,1.41,3
383...................,957.3,45.6,84.4,1.9,10 9 13.67,12 29 40.1,19.31,1.19,7
384...................,968.5,248.5,26.9,2.5,10 7 25.54,12 12 34.5,18.62,1.40,356
385 .................,1034.6,30.4,140.2,5.5,10 9 2.73,12 33 22.4,18.77,1.31,35
386...................,1056.1,244.8,18.8,2.0,10 7 21.82,12 11 0.1,19.32,1.20,45
387...................,1169.0,17.2,5.6,2.7,10 8 50.58,12 37 6.8,19.00,1.26,456
